AAA;SDSI;DDWM;FXU;LVOL;SCHD;XMHQ
JCPB;BNOV;FEEM;JEMA;QLVE;VEA;RINF
JCPI;BOAT;FELC;JEPI;QMAR;VEGI;RLY
JHCB;BOCT;FELG;JEPQ;QMID;VEGN;RPAR
JHMB;BOTZ;FELV;JEPY;QMOM;VERS;RSBT
JHMU;BOUT;FEM;JETS;QOWZ;VEU;RSST
JHPI;BPAY;FEMS;JFWD;QQEW;VFH;RYSE
JMBS;BRAZ;FENI;JGLO;QQH;VFLO;SVIX
JMHI;BRF;FENY;JGRO;QQJG;VFMF;SVOL
JMSI;BRNY;FEP;JHAC;QQMG;VFMO;SVXY
JMST;BRZU;FEPI;JHDV;QQQ;VFMV;THTA
JMUB;BSEP;FESM;JHEM;QQQA;VFQY;TPMN
JNK;BSMC;FEUS;JHID;QQQD;VFVA;TYA
JOJO;BSTP;FEUZ;JHMD;QQQE;VGK;UPAR
JPIB;BSVO;FEX;JHML;QQQI;VGSR;USE
JPIE;BTEC;FEZ;JHMM;QQQJ;VGT;UVIX
JPLD;BTEK;FFEB;JHSC;QQQM;VHT;UVXY
JPMB;BTHM;FFLC;JIG;QQQN;VICE;VIXM
JPST;BUFB;FFLG;JIRE;QQQS;VIDI;VIXY
JSCP;BUFC;FFLV;JIVE;QQQU;VIG;WEIX
JSI;BUFD;FFND;JMEE;QQQY;VIGI;WTMF
JUCY;BUFF;FFOG;JMOM;QQXT;VIOG;ZIVB
KBND;BUFG;FFSM;JNUG;QRFT;VIOO;WZRD
KDRN;BUFQ;FFTY;JOET;QRMI;VIOV;
KHYB;BUFR;FGD;JPAN;QSML;VIRS;
KORP;BUFT;FGM;JPEF;QSPT;VIS;
LDSF;BUFZ;FHLC;JPEM;QTAP;VLU;
LDUR;BUG;FICS;JPIN;QTEC;VLUE;
LEMB;BUL;FID;JPME;QTJA;VMAX;
LGOV;BULD;FIDI;JPMO;QTJL;VMOT;
LKOR;BUSA;FIDU;JPRE;QTOC;VNAM;
LMBS;BUYW;FILL;JPSE;QTR;VNM;
LONZ;BUYZ;FINE;JPSV;QTUM;VNMC;
LQD;BUZZ;FINX;JPUS;QUAL;VNQ;
LQDB;BWEB;FITE;JPXN;QUS;VNQI;
LQDH;BWTG;FIVA;JQUA;QUVU;VNSE;
LQDI;BYRE;FIVG;JRE;QVAL;VO;
LQDW;BZQ;FIW;JRNY;QVML;VOE;
LQIG;CACG;FIXT;JSMD;QVMM;VONE;
LSST;CAFG;FJAN;JSML;QVMS;VONG;
LTPZ;CALF;FJP;JSTC;QWLD;VONV;
MAGG;CAML;FJUL;JTEK;QYLD;VOO;
MBB;CAMX;FJUN;JULD;QYLE;VOOG;
MBBB;CANC;FKU;JULH;QYLG;VOOV;
MBND;CAPE;FLAU;JULJ;RAFE;VOT;
MBNE;CARK;FLAX;JULQ;RAYC;VOTE;
MBS;CARZ;FLBR;JULT;RAYD;VOX;
MBSD;CATH;FLCA;JULW;RAYE;VPL;
MBSF;CBSE;FLCH;JULZ;RAYS;VPN;
MEAR;CCMG;FLDZ;JUNT;RBLD;VPU;
MFLX;CCOR;FLEE;JUNW;RDIV;VRAI;
MGOV;CCSO;FLEU;JUNZ;RDOG;VSDA;
MIG;CDC;FLGB;JUST;RDVI;VSGX;
MINN;CDEI;FLGR;JVAL;RDVY;VSLU;
MINO;CDL;FLHK;JXI;REAI;VSMV;
MINT;CEFA;FLIN;KALL;RECS;VSS;
MLN;CFA;FLJH;KAPR;REET;VT;
MMCA;CFCV;FLJJ;KARS;REGL;VTHR;
MMIN;CFO;FLJP;KBA;REIT;VTI;
MMIT;CGDG;FLKR;KBE;REK;VTV;
MNBD;CGDV;FLLA;KBUF;REM;VTWG;
MSTI;CGGO;FLLV;KBUY;REMX;VTWO;
MTBA;CGGR;FLMX;KBWB;RETL;VTWV;
MTGP;CGIE;FLN;KBWD;REVS;VUG;
MUB;CGRO;FLOW;KBWP;REW;VUSE;
MUNI;CGUS;FLQL;KBWR;REZ;VV;
MUSI;CGV;FLQM;KBWY;RFDA;VWID;
MUST;CGW;FLQS;KCAL;RFDI;VWO;
NCPB;CGXU;FLRG;KCE;RFEM;VXF;
NEAR;CHAT;FLSA;KDIV;RFEU;VXUS;
NFLT;CHAU;FLSW;KEM;RFFC;VYM;
NPFI;CHGX;FLTW;KEMQ;RFG;VYMI;
NUAG;CHIQ;FLV;KEMX;RFV;WANT;
NUBD;CHPS;FM;KFVG;RHRX;WBAT;
NUHY;CIBR;FMAG;KGRN;RIET;WBIF;
NUSA;CID;FMAR;KGRO;RINC;WBIG;
